Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,97.2,30,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.5,37,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,98.1,38,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,97.8,33,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,97.5,32,0
Scripture - 3 Min - Novice - Psalm 46,98.8,37,0
Scripture - 5 Min - Novice - Isaiah 53,97.2,32,0
Scripture - 5 Min - Novice - John 1 v 1-18,98.1,34,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.1,40,0
Scripture - 5 Min - Novice - Isaiah 53,97.6,31,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,97.7,32,0
