Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,98.8,32,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,99.5,37,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.0,30,0
Scripture - 3 Min - Novice - Psalm 23,98.5,31,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,98.6,35,0
Scripture - 5 Min - Novice - Psalm 51,98.8,35,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,97.7,31,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.9,30,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,97.7,31,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,97.6,30,0
