Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,42,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,46,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,100.0,48,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,100.0,48,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,100.0,47,0
Scripture - 3 Min - Novice - Psalm 46,100.0,46,0
Scripture - 5 Min - Novice - Isaiah 53,100.0,43,0
Scripture - 5 Min - Novice - John 1 v 1-18,100.0,44,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.6,46,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,48,0
Scripture - 5 Min - Novice - Isaiah 53,100.0,44,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,34,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,34,0
Scripture - 5 Min - Novice - Isaiah 53,99.9,33,0
