Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,99,18,4
9/28/2020,Evaluate Speed,98,24,3
9/29/2020,Review 5,97,23,4
10/9/2020,Evaluate Speed,95,26,6
10/15/2020,Evaluate Speed,97,31,2
10/16/2020,Dollar Sign and Forward Slash   ,98,20,4
10/20/2020,Percent and Hyphen              ,99,20,9
10/22/2020,Open and Close Parentheses      ,98,20,1
10/23/2020,Symbol and Asterisk             ,99,26,1
10/27/2020,Evaluate Speed-05,99,36,1
10/28/2020,Bible Verses 1-1,99,33,2
10/30/2020,Review 2,98,31,0
11/2/2020,Review 5-1,97,29,0
11/3/2020,Bible Verses 2-1,98,35,0
11/4/2020,Evaluate Speed 6,98,34,0
11/5/2020,Bible Verses 1-2 WB,100,35,0
11/6/2020,Build Speed 1-1 WB,100,35,0
11/10/2020,Build Speed 2-1 WB,100,35,0
11/11/2020,Review 5-2 WB,100,33,0
11/12/2020,Bible Verses 2-2 WB,100,40,0
11/13/2020,Evaluate Speed-07 WB,100,40,0
11/16/2020,Bible Verses 1-3 WB,100,39,0
11/17/2020,Build Speed 1-2 WB,100,42,0
11/18/2020,Build Speed 2-2 WB,100,40,0
11/19/20,Evaluate Speed-07 WB,100.0,45.0,0
11/20/20,Bible Verses 1-3 WB,100.0,42.0,0
11/23/20,Evaluate Speed-08 WB,100.0,45.0,0
11/24/20,Bible Verses 2-3 WB,100.0,43.0,0
11/30/20,Bible Verses 1-4 WB,100.0,42.0,0
12/01/20,Build Speed 1-3 WB,100.0,46.0,0
12/02/20,Build Speed 2-3 WB,100.0,42.0,0
12/03/20,Review 5-4 WB,100.0,43.0,0
12/04/20,Bible Verses 2-4 WB,100.0,46.0,0
12/07/20,Evaluate Speed-09 WB,100.0,47.0,0
12/08/20,Bible Verses 1-5 WB,100.0,46.0,0
12/10/20,Build Speed 1-4 WB,100.0,48.0,0
12/11/20,Build Speed 2-4 WB,100.0,43.0,0
12/14/20,Review 5-5 WB,100.0,38.0,0
12/15/20,Bible Verses 2-5 WB,100.0,50.0,0
12/16/20,Evaluate Speed-10 WB,100.0,52.0,0
12/17/20,Evaluate Speed-11 WB,100.0,54.0,0
12/18/20,Review 5-5 WB,100.0,47.0,0
