Date,Score,Errors,Letters Left

09/23/2020,17876,24,0
09/24/2020,18575,25,0
09/24/2020,19586,14,0
09/30/2020,2,42,78
09/30/2020,0,7,79
10/02/2020,19688,12,0
10/02/2020,20681,19,0
10/02/2020,20984,16,0
10/02/2020,0,37,99
10/02/2020,94,27,56
10/05/2020,13144,28,5
10/05/2020,0,176,100
10/05/2020,21733,17,0
10/05/2020,21877,23,0
10/07/2020,21689,11,0
10/07/2020,21782,18,0
10/07/2020,2,80,83
10/07/2020,21730,20,0
10/07/2020,22536,14,0
10/08/2020,21929,21,0
10/08/2020,22235,15,0
10/08/2020,21174,26,0
10/08/2020,22472,28,0
10/09/2020,0,105,88
10/09/2020,22367,33,0
10/09/2020,22373,27,0
10/09/2020,9,73,76
10/09/2020,0,101,97
10/09/2020,20251,23,1
10/12/2020,0,127,96
10/12/2020,22164,36,0
10/12/2020,13822,36,5
10/12/2020,0,74,92
10/12/2020,22528,22,0
10/12/2020,22476,24,0
10/12/2020,22477,23,0
10/12/2020,0,67,96
10/12/2020,15349,51,0
10/12/2020,15963,37,0
10/12/2020,3,18,83
10/12/2020,0,52,97
10/12/2020,0,87,99
10/12/2020,21729,21,0
10/12/2020,22130,20,0
10/12/2020,21828,22,0
10/12/2020,22028,22,0
10/13/2020,19,75,71
10/13/2020,22386,14,0
10/13/2020,23087,13,0
10/13/2020,1433,24,29
10/13/2020,18868,19,2
10/13/2020,0,39,94
10/14/2020,0,104,86
10/14/2020,22670,30,0
10/15/2020,22042,28,0
10/15/2020,22248,32,0
10/15/2020,0,159,99
10/15/2020,22565,15,0
10/15/2020,22702,28,0
10/16/2020,21856,24,0
10/16/2020,22346,34,0
10/16/2020,22559,21,0
10/20/2020,22243,37,0
10/20/2020,22154,26,0
10/20/2020,22547,33,0
10/20/2020,10380,42,8
10/20/2020,13809,56,5
10/20/2020,22478,22,0
10/20/2020,22334,66,0
10/20/2020,22366,34,0
10/22/2020,22567,13,0
10/22/2020,22383,17,0
10/22/2020,22475,25,0
10/22/2020,22574,36,0
10/22/2020,14024,41,5
10/23/2020,22154,26,0
10/23/2020,21571,109,0
10/23/2020,22742,38,0
10/23/2020,22883,47,0
10/23/2020,15783,69,4
10/26/2020,22646,34,0
10/26/2020,20530,46,1
10/26/2020,20526,51,1
10/26/2020,23104,26,0
10/27/2020,22032,38,0
10/27/2020,22658,22,0
10/27/2020,22804,26,0
10/27/2020,22811,39,0
10/27/2020,14365,41,5
10/27/2020,23113,37,0
10/27/2020,19303,42,2
10/27/2020,0,7,91
10/27/2020,21655,45,0
10/27/2020,23106,24,0
10/27/2020,19069,31,0
10/28/2020,22355,25,0
10/28/2020,22811,19,0
10/28/2020,17384,40,3
10/28/2020,15804,39,4
10/29/2020,22555,25,0
10/29/2020,22795,35,0
10/29/2020,22815,35,0
10/30/2020,22537,43,0
10/30/2020,22767,33,0
10/30/2020,22879,41,0
10/30/2020,22899,31,0
10/30/2020,23239,41,0
11/02/2020,22355,25,0
11/02/2020,22804,26,0
11/03/2020,22441,39,0
11/03/2020,22797,53,0
11/03/2020,22928,22,0
11/03/2020,0,65,96
11/03/2020,23358,42,0
11/04/2020,14168,29,5
11/04/2020,22927,23,0
11/04/2020,23343,57,0
11/05/2020,22911,39,0
11/05/2020,23112,38,0
11/06/2020,23124,36,0
11/06/2020,23449,51,0
11/10/2020,22700,20,0
11/10/2020,23016,44,0
11/10/2020,23339,61,0
11/12/2020,23205,45,0
11/12/2020,23416,84,0
11/12/2020,23530,70,0
11/12/2020,23548,62,0
11/13/2020,23111,39,0
11/13/2020,23542,58,0
11/13/2020,17611,67,3
11/13/2020,23527,83,0
11/16/2020,10884,61,8
11/16/2020,23287,63,0
11/16/2020,23105,45,0
11/17/2020,23032,38,0
11/17/2020,9885,84,9
11/17/2020,11974,59,7
11/17/2020,21228,49,1
11/17/2020,23354,46,0
11/17/2020,21216,62,1
11/18/2020,23195,65,0
11/18/2020,23447,53,0
11/19/2020,23423,27,0
11/20/2020,23336,64,0
11/20/2020,19348,98,2
11/23/2020,23215,35,0
11/23/2020,23454,36,0
11/23/2020,19402,32,2
11/23/2020,19274,77,2
11/23/2020,23341,59,0
11/23/2020,23430,70,0
11/24/2020,23202,78,0
11/24/2020,23415,65,0
11/24/2020,23539,61,0
11/24/2020,21302,77,1
11/24/2020,19350,95,2
11/24/2020,23550,60,0
11/24/2020,23843,77,0
11/24/2020,17759,90,3
11/24/2020,16136,103,4
11/24/2020,23858,72,0
11/24/2020,23870,70,0
11/24/2020,24055,95,0
11/24/2020,17991,111,3
11/24/2020,17998,104,3
11/24/2020,16359,106,4
11/24/2020,14866,115,5
11/24/2020,14869,109,5
11/24/2020,11163,123,8
11/30/2020,23291,69,0
11/30/2020,23428,72,0
11/30/2020,21916,84,0
12/01/2020,23401,49,0
12/01/2020,23434,66,0
12/01/2020,23623,77,0
12/01/2020,23833,87,0
12/01/2020,23849,91,0
12/02/2020,23379,101,0
12/02/2020,23508,92,0
12/02/2020,23611,99,0
12/02/2020,23785,155,0
12/02/2020,11108,132,8
12/04/2020,21288,93,1
12/07/2020,23718,52,0
12/07/2020,23626,84,0
