Lesson,Accuracy,WPM,IdleTime

Three Minute File 17,95.0,20,0
Three Minute File 18,97.0,23,0
Three Minute File 20,97.0,25,0
Three Minute File 24,96.0,21,0
Three Minute File 25,95.0,18,0
Three Minute File 26,96.0,25,0
Three Minute File 27,95.0,24,0
Scripture - 3 Min - Novice - Psalm 46,92.0,18,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,94.0,18,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,96.0,25,0
Scripture - 3 Min - Novice - Psalm 46,95.0,24,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,94.0,19,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,96.0,22,0
Three Minute File 25,92.0,16,0
Three Minute File 25,4.0,-1140,0
