Lesson,Accuracy,WPM,IdleTime

Day 02 - Part 2 - Learn E,98.7,35,0
Day 02 - Part 3 - Learn H,97.4,33,0
Day 03 - Part 2 - Learn R,95.4,27,0
Day 03 - Part 3 - Learn O,96.6,33,0
Day 05 - Part 2 - Learn T,97.3,38,0
Day 05 - Part 3 - Learn I,97.4,36,0
Day 06 - Part 2 - Learn Left Shift,96.7,25,0
Day 06 - Part 3 - Learn Period,96.7,32,0
Day 07 - Part 2 - Learn C,94.1,24,0
Day 07 - Part 3 - Learn U,96.7,30,0
Day 09 - Part 4 - Learn W,97.4,36,0
Day 09 - Part 5 - Learn N,96.7,31,0
Day 10 - Part 2 - Learn G,96.1,26,0
Day 10 - Part 3 - Learn Right Shift,96.8,24,0
Day 11 - Part 2 - Learn B,96.1,25,0
Day 11 - Part 3 - Learn P,98.0,31,0
Day 13 - Part 2 - Learn X,99.3,35,0
Day 13 - Part 3 - Learn M,98.0,36,0
