Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 2 - Learn 1,97.1,31,0
Day 27 - Part 3 - Learn 2,97.1,32,0
Day 26 - Part 2 - Learn 3,98.9,43,0
Day 24 - Part 2 - Learn 4,96.1,32,0
Day 25 - Part 2 - Learn 5,97.2,39,0
Day 27 - Part 4 - Learn 6,94.6,25,0
Day 23 - Part 3 - Learn 7,96.8,36,0
Day 24 - Part 3 - Learn 8,94.3,28,0
Day 25 - Part 3 - Learn 9,95.0,28,0
Day 26 - Part 3 - Learn 0,95.7,27,0
Day 28 - Part 5 - Left Hand,96.3,27,0
Day 28 - Part 6 - Right Hand,93.5,22,0
Day 28 - Part 6 - Right Hand,94.5,24,0
Day 28 - Part 6 - Right Hand,96.4,29,0
Day 24 - Part 3 - Learn 8,96.4,36,0
Day 27 - Part 4 - Learn 6,94.2,26,0
Day 27 - Part 4 - Learn 6,95.7,29,0
