Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,97.0,32,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,93.7,29,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,93.9,25,0
Scripture - 3 Min - Novice - Psalm 23,95.2,28,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,97.1,31,0
Scripture - 5 Min - Novice - Psalm 51,97.4,37,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,94.9,27,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,96.4,31,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.0,31,1
Scripture - 1 Min - Novice - Hebrews 11 v 1,95.0,36,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.3,28,0
Scripture - 3 Min - Novice - Psalm 23,96.3,34,0
