Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,95.3,27,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,95.2,29,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,95.8,31,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,97.0,36,0
Scripture - 3 Min - Novice - Psalm 23,95.3,33,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,94.6,27,0
Scripture - 5 Min - Advanced - Selections 1,95.7,29,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,96.0,31,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,95.3,31,0
Scripture - 1 Min - Novice - John 3 v 16,97.6,41,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,91.6,22,0
Scripture - 3 Min - Novice - Psalm 23,91.9,22,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,95.4,31,0
