Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,92.6,24,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.1,45,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.4,28,0
Scripture - 3 Min - Novice - Psalm 23,97.2,35,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.0,33,0
Scripture - 5 Min - Novice - Psalm 51,96.4,35,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,96.4,34,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.6,32,0
Scripture - 1 Min - Novice - John 3 v 16,95.0,33,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,95.6,35,0
Scripture - 1 Min - Novice - John 3 v 16,96.1,38,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,95.4,32,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,95.6,33,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,90.1,17,1
