Lesson,Accuracy,WPM,IdleTime

Day 20 - Part 1,100.0,48,0
Day 20 - Part 2,99.6,42,0
Day 20 - Part 3,100.0,49,0
Day 20 - Part 4,100.0,47,0
Day 20 - Part 5,100.0,43,0
Day 20 - Part 6,100.0,50,0
Day 20 - Part 7,100.0,46,0
Day 20 - Part 8,100.0,44,0
Day 20 - Part 9,100.0,49,0
Day 20 - Part 2,99.6,41,0
Day 20 - Part 2,100.0,47,0
Day 20 - Part 5,100.0,47,0
Day 20 - Part 8,100.0,44,0
Day 20 - Part 7,100.0,43,0
Day 20 - Part 8,100.0,43,0
Day 20 - Part 8,100.0,48,0
Day 20 - Part 7,100.0,46,0
Day 20 - Part 7,98.7,41,0
Day 20 - Part 7,100.0,42,0
Day 20 - Part 7,96.0,30,0
Day 20 - Part 7,99.1,40,0
Day 20 - Part 7,100.0,47,0
Day 20 - Part 2,100.0,52,0
Day 20 - Part 4,100.0,43,0
Day 20 - Part 4,100.0,44,0
Day 20 - Part 4,100.0,48,0
Day 20 - Part 5,98.7,40,0
Day 20 - Part 5,100.0,47,0
Day 20 - Part 5,100.0,41,0
