Lesson,Accuracy,WPM,IdleTime

Scripture - 3 Min - Advanced - 1 Peter 1 v 3-9,100.0,47,0
Scripture - 3 Min - Advanced - Psalm 27,100.0,46,0
Scripture - 5 Min - Advanced - Psalm 139,100.0,46,0
Scripture - 5 Min - Advanced - Romans,100.0,43,0
Scripture - 5 Min - Advanced - Selections 1,100.0,40,0
Scripture - 5 Min - Advanced - Selections 2,100.0,42,0
Scripture - 5 Min - Advanced - Selections 1,99.8,41,0
Scripture - 5 Min - Advanced - Psalm 139,25.3,-901,0
Scripture - 5 Min - Advanced - Selections 1,27.8,-616,0
