Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,83,17,4
9/23/2020,Review 2                        ,92,24,0
9/24/2020,Review 3                        ,95,24,1
9/28/2020,Evaluate Speed,85,24,0
9/29/2020,Review 5                        ,96,21,78
9/30/2020,Review 6                        ,96,23,0
10/2/2020,Numbers 1 and 7                 ,97,28,0
10/5/2020,Numbers 4 and 8                 ,97,26,0
10/7/2020,Numbers 3 and 0                 ,97,25,6
10/8/2020,Numbers 2 and 6                 ,97,26,1
10/13/2020,Letters 2                       ,95,27,0
10/14/2020,Review Numbers                  ,97,32,0
10/15/2020,Evaluate Speed                  ,96,32,1
10/16/2020,Dollar Sign and Forward Slash   ,96,22,0
10/20/2020,Percent and Hyphen              ,96,23,1
10/22/2020,Open and Close Parentheses      ,96,23,0
10/23/2020,Symbol and Asterisk             ,96,25,0
10/26/2020,Excalmation & Greater & Less Than,96,26,2
10/27/2020,Evaluate Speed-05,96,32,0
10/28/2020,Bible Verses 1-1,96,33,0
10/29/2020,All Symbols,97,26,0
10/30/2020,Review 2,96,33,0
11/2/2020,Review 5-1,96,30,0
11/3/2020,Bible Verses 2-1,97,34,0
11/4/2020,Evaluate Speed-06,96,36,3
11/5/2020,Bible Verses 1-2 WB,100,40,0
11/6/2020,Build Speed 1-1 WB,100,39,0
11/10/2020,Build Speed 2-1 WB,100,39,0
11/10/2020,TestyThingamabob,100,43,0
11/11/2020,Review 5-2 WB,100,42,0
11/12/2020,Bible Verses 2-2 WB,100,44,0
11/13/2020,Evaluate Speed-07 WB,100,44,0
11/16/2020,Bible Verses 1-3 WB,100,41,0
11/17/2020,Build Speed 1-2 WB,100,45,1
11/18/2020,Build Speed 2-2 WB,100,44,0
11/19/2020,Review 5-3 WB,100,43,0
11/20/2020,Bible Verses 2-3 WB,100,45,0
11/23/2020,Evaluate Speed-08 WB,100,45,0
11/30/2020,Bible Verses 1-4 WB,100,41,1
12/1/2020,Build Speed 1-3 WB,100,46,0
12/2/2020,Build Speed 2-3 WB,100,42,0
12/3/2020,Review 5-4 WB,100,42,0
12/4/2020,Bible Verses 2-4 WB,100,46,0
12/7/2020,Evaluate Speed-09 WB,100,46,0
12/8/2020,Bible Verses 1-5 WB,100,45,0
12/10/2020,Build Speed 1-4 WB,100,49,0
12/11/2020,Build Speed 2-4 WB,100,46,0
12/14/2020,Review 5-5 WB,100,45,0
12/15/2020,Bible Verses 2-5 WB,100,47,0
12/16/20,Bible Verses Advanced WB,100.0,44.0,0
12/17/20,Evaluate Speed-11 WB,100.0,50.0,0
12/18/20,Review 5-5 WB,100.0,44.0,0
