Date,Score,Errors,Letters Left

09/23/2020,17860,40,0
09/24/2020,18882,18,0
09/24/2020,20146,54,0
09/29/2020,20632,68,0
09/29/2020,20380,220,0
09/30/2020,20322,178,0
09/30/2020,20569,131,0
10/01/2020,21119,281,0
10/05/2020,15666,34,0
10/05/2020,17464,36,0
10/07/2020,15770,30,0
10/07/2020,22065,205,0
10/07/2020,24374,496,0
10/07/2020,24443,527,0
10/08/2020,23304,596,0
10/08/2020,24180,620,0
10/09/2020,17,430,72
10/09/2020,23356,554,0
10/12/2020,25073,537,0
10/12/2020,1007,296,34
10/13/2020,18226,356,2
10/14/2020,17668,132,0
10/16/2020,16616,293,3
10/20/2020,22419,291,0
10/29/2020,20738,292,0
10/29/2020,18871,29,0
