Lesson,Accuracy,WPM,IdleTime

Day 14 - Part 3 - Learn Z,96.7,22,0
Day 14 - Part 4 - Learn Y,97.4,29,0
Day 15 - Part 2 - Learn Q,96.2,22,0
Day 15 - Part 3 - Learn Comma,96.1,19,1
Day 17 - Part 2 - Learn V,97.4,25,0
Day 17 - Part 3 - Learn Colon,88.3,7,0
Day 18 - Part 3 - Learn CAPS LOCKB,90.2,10,0
Day 18 - Part 4 - Learn Question,95.4,19,0
Day 19 - Part 2 - Learn Apostrophe,94.2,16,0
Day 19 - Part 3 - Learn Quotation,93.8,21,0
Day 20 - Part 1,90.4,14,0
Day 20 - Part 2,93.0,18,0
Day 20 - Part 3,93.0,15,0
Day 20 - Part 4,88.6,9,0
Day 20 - Part 5,87.6,6,0
Day 20 - Part 5,92.5,14,0
Day 17 - Part 3 - Learn Colon,96.8,22,0
Day 20 - Part 4,94.3,20,0
Day 18 - Part 3 - Learn CAPS LOCKB,97.7,29,0
Day 20 - Part 1,92.6,19,0
Day 20 - Part 5,92.0,16,1
Day 20 - Part 5,91.2,14,0
Day 20 - Part 5,93.4,19,0
Day 20 - Part 1,92.1,17,0
Day 20 - Part 1,92.6,20,0
Day 20 - Part 1,93.0,17,0
