Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 2 - Learn 1,95.0,16,0
Day 27 - Part 3 - Learn 2,91.7,13,1
Day 26 - Part 2 - Learn 3,97.9,29,0
Day 24 - Part 2 - Learn 4,97.1,28,0
Day 25 - Part 2 - Learn 5,99.1,36,0
Day 27 - Part 4 - Learn 6,93.4,19,0
Day 23 - Part 3 - Learn 7,97.9,35,0
Day 24 - Part 3 - Learn 8,97.5,36,0
Day 25 - Part 3 - Learn 9,97.1,33,0
Day 26 - Part 3 - Learn 0,94.3,23,0
Day 28 - Part 5 - Left Hand,93.3,20,0
Day 28 - Part 6 - Right Hand,94.2,21,0
Day 27 - Part 3 - Learn 2,93.2,20,0
Day 27 - Part 3 - Learn 2,93.2,22,0
Day 28 - Part 5 - Left Hand,91.2,13,9
Day 28 - Part 5 - Left Hand,64.1,-66,0
