Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,95.5,29,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,92.9,22,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.7,22,0
Scripture - 3 Min - Novice - Psalm 23,91.9,18,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,91.3,15,0
Scripture - 5 Min - Novice - Psalm 51,94.0,22,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,94.0,22,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.2,24,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,94.2,24,0
Scripture - 3 Min - Novice - Psalm 23,92.9,20,0
Scripture - 3 Min - Novice - Psalm 23,93.5,20,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,94.7,28,0
Scripture - 3 Min - Novice - Psalm 23,93.8,22,0
Scripture - 3 Min - Novice - Psalm 23,95.3,26,0
Scripture - 5 Min - Novice - Psalm 51,95.7,27,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,92.5,19,4
