Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 4,92.7,9,0
Day 30 - Part 1,93.5,13,0
Day 30 - Part 2 - Learn Percent Sign,89.6,8,0
Day 30 - Part 3 - Learn Hyphen,89.7,8,2
Day 30 - Part 4,94.8,20,0
Day 30 - Part 5,94.3,22,0
Day 30 - Part 2 - Learn Percent Sign,88.4,7,2
Day 30 - Part 2 - Learn Percent Sign,92.8,14,0
Day 30 - Part 3 - Learn Hyphen,94.9,17,0
Day 29 - Part 4,93.1,12,1
Day 30 - Part 2 - Learn Percent Sign,95.2,19,0
Day 29 - Part 4,89.4,8,0
Day 29 - Part 4,92.2,11,0
Day 29 - Part 4,54.3,-91,0
