Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,98.3,43,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,97.2,42,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.7,36,0
Scripture - 3 Min - Novice - Psalm 23,96.5,33,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.3,35,0
Scripture - 5 Min - Novice - Psalm 51,93.6,28,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,94.2,30,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,91.5,22,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.5,25,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.1,30,0
Scripture - 5 Min - Novice - Psalm 51,92.9,27,0
Scripture - 5 Min - Novice - Psalm 51,94.6,32,0
