Lesson,Accuracy,WPM,IdleTime

Day 22 - Part 1,100.0,48,0
Day 22 - Part 2,100.0,49,0
Day 22 - Part 3,100.0,40,0
Day 22 - Part 4,100.0,50,0
Day 22 - Part 5,100.0,42,0
Day 22 - Part 6,100.0,49,0
Day 22 - Part 7,100.0,50,0
Day 22 - Part 8,100.0,48,0
Day 22 - Part 9,100.0,45,0
Day 22 - Part 3,99.7,36,0
Day 22 - Part 5,100.0,44,0
Day 22 - Part 3,58.5,-104,0
Day 22 - Part 5,100.0,44,0
Day 22 - Part 3,99.7,38,0
Day 22 - Part 5,100.0,41,0
Day 22 - Part 3,100.0,42,0
Day 22 - Part 8,100.0,49,0
Day 22 - Part 3,53.7,-144,0
