Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,52,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.5,49,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,100.0,56,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,100.0,50,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,100.0,49,0
Scripture - 3 Min - Novice - Psalm 46,100.0,51,0
Scripture - 5 Min - Novice - Isaiah 53,100.0,49,0
Scripture - 5 Min - Novice - John 1 v 1-18,100.0,50,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.6,45,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,45,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,49,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,50,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,54,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,100.0,50,0
Scripture - 5 Min - Novice - Isaiah 53,29.1,-689,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,57,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,20.8,-1106,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,50.0,-204,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,60,0
