Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,86,26,24
9/23/2020,Review 2                        ,95,24,14
9/24/2020,Review 3                        ,95,26,10
9/28/2020,Evaluate Speed,89,25,21
9/29/2020,Review 5                        ,93,15,1
9/30/2020,Review 6                        ,94,17,11
10/1/2020,Review 7                        ,94,17,1
10/5/2020,Numbers 4 and 8                 ,97,23,7
10/7/2020,Numbers 3 and 0                 ,96,22,2
10/8/2020,Numbers 2 and 6                 ,96,21,1
10/9/2020,Evaluate Speed,86,28,7
10/12/2020,Letters 1                       ,97,30,1
10/13/2020,Letters 2                       ,95,21,2
10/14/2020,Review Numbers                  ,96,26,10
10/15/2020,Evaluate Speed                  ,95,25,4
10/20/2020,Percent and Hyphen              ,94,17,5
10/22/2020,Open and Close Parentheses      ,96,24,0
10/27/2020,Evaluate Speed-05,95,26,1
10/28/2020,Bible Verses 1-1,95,29,0
10/29/2020,All Symbols,95,21,5
10/30/2020,At Symbol and Asterisk,96,27,1
10/30/2020,Review 2,94,28,1
11/2/2020,Review 5-1,93,23,0
11/3/2020,Bible Verses 2-1,96,33,0
11/4/2020,Evaluate Speed-06,96,35,0
11/5/2020,Bible Verses 1-2 WB,100,38,0
11/6/2020,Build Speed 1-1 WB,100,33,0
11/10/2020,Build Speed 2-1 WB,100,32,0
11/11/2020,Review 5-2 WB,100,37,0
11/12/2020,Bible Verses 2-2 WB,100,44,0
11/13/2020,Evaluate Speed-07 WB,100,44,0
11/16/2020,Bible Verses 1-3 WB,100,43,0
11/17/2020,Build Speed 1-2 WB,100,40,0
11/18/2020,Build Speed 2-2 WB,100,41,0
11/19/2020,Review 5-3 WB,100,41,0
11/20/2020,Bible Verses 2-3 WB,100,47,4
11/23/2020,Evaluate Speed-08 WB,100,47,2
11/30/2020,Bible Verses 1-4 WB,100,46,0
12/1/2020,Build Speed 1-3 WB,100,46,1
12/2/2020,Build Speed 2,100,44,0
12/03/20,Review 5-4 WB,100.0,45.0,0
12/04/20,Bible Verses 2-4 WB,100.0,50.0,0
12/07/20,Evaluate Speed-09 WB,100.0,50.0,1
12/08/20,Bible Verses 1-5 WB,100.0,52.0,0
12/10/20,Build Speed 1-4 WB,100.0,52.0,1
12/11/20,Build Speed 2-4 WB,100.0,47.0,0
12/14/20,Review 5-5 WB,100.0,46.0,0
12/15/20,Bible Verses 2-5 WB,100.0,53.0,0
12/16/20,Evaluate Speed-10 WB,100.0,56.0,0
12/17/20,Evaluate Speed-11 WB,100.0,55.0,12
12/18/20,Review 5-5 WB,100.0,50.0,0
