Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 4,97.0,28,0
Day 24 - Part 1,97.0,37,0
Day 24 - Part 2 - Learn 4,95.0,28,0
Day 24 - Part 3 - Learn 8,97.0,30,0
Day 24 - Part 4,91.0,17,0
Day 24 - Part 5,93.0,30,0
Day 24 - Part 6,94.0,23,0
Day 24 - Part 4,93.0,23,0
Day 24 - Part 4,94.0,28,0
Day 24 - Part 5,99.0,49,0
Day 24 - Part 6,95.0,26,0
Day 24 - Part 4,98.0,36,0
Day 24 - Part 6,88.0,11,0
Day 24 - Part 6,97.0,35,0
Day 24 - Part 2 - Learn 4,98.0,37,0
Day 23 - Part 4,90.0,16,0
Day 23 - Part 4,98.0,32,0
Day 24 - Part 3 - Learn 8,98.0,33,0
Day 24 - Part 6,93.0,25,0
