Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 2 - Learn 1,97.9,31,0
Day 27 - Part 3 - Learn 2,95.0,30,0
Day 26 - Part 2 - Learn 3,97.5,38,0
Day 24 - Part 2 - Learn 4,97.9,45,7
Day 25 - Part 2 - Learn 5,96.3,37,0
Day 27 - Part 4 - Learn 6,93.4,24,0
Day 23 - Part 3 - Learn 7,96.1,32,0
Day 24 - Part 3 - Learn 8,96.1,32,0
Day 25 - Part 3 - Learn 9,94.6,26,0
Day 26 - Part 3 - Learn 0,90.7,14,0
Day 28 - Part 5 - Left Hand,94.4,29,0
Day 28 - Part 6 - Right Hand,96.3,32,0
Day 26 - Part 3 - Learn 0,94.3,25,2
Day 27 - Part 4 - Learn 6,96.1,34,0
Day 26 - Part 3 - Learn 0,94.6,26,0
Day 28 - Part 5 - Left Hand,92.9,26,0
Day 28 - Part 5 - Left Hand,94.6,31,0
