Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,99.5,42,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.6,53,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,93.6,30,0
Scripture - 3 Min - Novice - Psalm 23,98.7,43,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.6,39,0
Scripture - 5 Min - Novice - Psalm 51,96.7,39,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,93.5,31,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.4,36,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.2,38,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,97.9,41,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,92.4,28,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.7,38,0
