Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 1,95.7,29,0
Day 29 - Part 2 - Learn Dollar Sign,84.9,2,0
Day 29 - Part 3 - Learn Forward Slash,87.1,6,0
Day 29 - Part 4,91.0,12,0
Day 29 - Part 5,93.2,23,0
Day 29 - Part 6,94.7,29,0
Day 28 - Part 5 - Left Hand,96.7,38,0
Day 28 - Part 6 - Right Hand,94.8,30,0
Day 29 - Part 2 - Learn Dollar Sign,97.1,21,0
Day 29 - Part 3 - Learn Forward Slash,95.4,20,0
Day 29 - Part 4,91.8,14,0
Day 29 - Part 4,94.3,19,0
Day 29 - Part 5,87.9,12,0
Day 29 - Part 5,93.2,26,0
Day 29 - Part 5,93.2,25,0
