Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 4,88.6,8,0
Day 30 - Part 1,94.1,25,0
Day 30 - Part 2 - Learn Percent Sign,93.6,16,0
Day 30 - Part 3 - Learn Hyphen,92.1,16,0
Day 30 - Part 4,89.6,14,0
Day 30 - Part 5,93.5,28,0
Day 29 - Part 4,99.2,28,0
Day 30 - Part 4,96.4,31,0
Day 30 - Part 3 - Learn Hyphen,96.0,26,0
Day 30 - Part 2 - Learn Percent Sign,93.2,17,0
Day 30 - Part 2 - Learn Percent Sign,95.2,23,0
Day 30 - Part 5,94.9,32,0
Day 30 - Part 1,100.0,31,0
Day 30 - Part 2 - Learn Percent Sign,99.6,34,0
Day 30 - Part 5,89.0,16,0
