Lesson,Accuracy,WPM,IdleTime

Day 31 - Part 5,93.5,23,0
Day 32 - Part 1,90.3,17,0
Day 32 - Part 2,88.8,13,0
Day 32 - Part 3 - Learn Open Parentheses,97.9,34,0
Day 32 - Part 4 - Learn Close Parentheses,90.7,15,0
Day 32 - Part 5,92.4,15,0
Day 32 - Part 6,95.5,36,0
Day 32 - Part 7,90.7,14,0
Day 32 - Part 8,88.2,11,0
Day 32 - Part 8,96.1,30,0
Day 32 - Part 2,96.1,30,0
Day 32 - Part 1,96.8,33,0
Day 32 - Part 7,96.2,28,0
Day 32 - Part 4 - Learn Close Parentheses,97.5,33,0
Day 32 - Part 5,89.9,12,0
Day 31 - Part 5,95.1,27,0
Day 32 - Part 5,89.1,11,0
