Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 2 - Learn Dollar Sign,89.8,11,0
Day 29 - Part 3 - Learn Forward Slash,86.7,6,0
Day 30 - Part 2 - Learn Percent Sign,96.4,28,0
Day 30 - Part 3 - Learn Hyphen,94.1,22,0
Day 31 - Part 3 - Learn Number Sign,92.9,20,0
Day 31 - Part 4 - Learn Ampersand,94.7,23,0
Day 32 - Part 3 - Learn Open Parentheses,96.2,27,0
Day 32 - Part 4 - Learn Close Parentheses,98.9,32,0
Day 33 - Part 1 - Learn At Symbol,94.8,24,0
Day 33 - Part 2 - Learn Asterisk,96.7,28,0
Day 29 - Part 3 - Learn Forward Slash,97.1,28,0
Day 29 - Part 2 - Learn Dollar Sign,94.3,21,0
Day 31 - Part 3 - Learn Number Sign,98.4,32,0
Day 30 - Part 3 - Learn Hyphen,96.4,27,0
Day 29 - Part 2 - Learn Dollar Sign,96.3,23,0
Day 31 - Part 4 - Learn Ampersand,96.8,25,0
Day 33 - Part 1 - Learn At Symbol,94.8,23,0
