Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,94.2,33,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,97.2,40,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,98.6,50,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,96.3,42,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,96.8,43,0
Scripture - 3 Min - Novice - Psalm 46,96.5,45,0
Scripture - 5 Min - Novice - Isaiah 53,95.6,40,0
Scripture - 5 Min - Novice - John 1 v 1-18,96.1,43,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.6,47,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.5,49,0
