Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,98.9,52,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,56,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.8,45,0
Scripture - 3 Min - Novice - Psalm 23,95.2,42,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,97.8,51,0
Scripture - 5 Min - Novice - Psalm 51,97.3,48,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,94.8,41,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,91.4,27,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,93.9,36,0
Scripture - 1 Min - Novice - John 3 v 16,99.3,54,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.4,41,0
Scripture - 3 Min - Novice - Psalm 23,98.1,46,0
