Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,93,36,1
9/24/2020,Review 3                        ,94,40,0
9/28/2020,Evaluate Speed,93,42,1
9/29/2020,Review 5,93,41,0
10/1/2020,Review 7                        ,94,28,4
10/5/2020,Numbers 4 and 8                 ,98,37,0
10/8/2020,Numbers 2 and 6                 ,98,35,0
10/9/2020,Evaluate Speed,93,43,0
10/14/2020,Review Numbers                  ,96,33,9
10/15/2020,Evaluate Speed,97,41,0
10/16/2020,Dollar Sign and Forward Slash   ,95,26,0
10/20/2020,Percent and Hyphen,98,30,0
10/22/2020,Open and Close Parentheses      ,96,30,0
10/27/2020,Evaluate Speed-05,95,37,11
10/28/2020,Bible Verses 1-1,96,39,1
10/29/2020,All Symbols,97,27,0
10/30/2020,Review 2,94,34,0
11/02/20,Review 5-1,95.0,34.0,0
11/03/20,Bible Verses 2-1,97.0,45.0,0
11/04/20,Evaluate Speed-06,97.0,47.0,0
11/05/20,Bible Verses 1-2 WB,100.0,48.0,0
11/06/20,Build Speed 1-1 WB,100.0,48.0,0
11/10/20,Build Speed 2-1 WB,100.0,43.0,0
11/11/20,Review 5-2 WB,100.0,44.0,0
11/12/20,Bible Verses 2-2 WB,100.0,50.0,0
11/13/20,Evaluate Speed-07 WB,100.0,52.0,0
11/16/20,Bible Verses 1-3 WB,100.0,54.0,0
11/17/20,Build Speed 1-2 WB,100.0,56.0,1
11/18/20,Build Speed 2-2 WB,100.0,48.0,0
11/19/20,Review 5-3 WB,100.0,47.0,0
11/20/20,Bible Verses 2-3 WB,100.0,53.0,0
11/23/20,Evaluate Speed-08 WB,100.0,52.0,0
11/30/20,Bible Verses 1-4 WB,100.0,51.0,1
12/01/20,Build Speed 1-3 WB,100.0,54.0,0
12/02/20,Build Speed 2-3 WB,100.0,47.0,0
12/03/20,Review 5-4 WB,100.0,49.0,0
12/04/20,Bible Verses 2-4 WB,100.0,52.0,0
12/07/20,Evaluate Speed-09 WB,100.0,54.0,0
12/08/20,Bible Verses 1-5 WB,100.0,54.0,0
12/10/20,Build Speed 1-4 WB,100.0,60.0,0
12/11/20,Build Speed 2-4 WB,100.0,49.0,0
12/14/20,Review 5-5 WB,100.0,49.0,0
12/15/20,Bible Verses 2-5 WB,100.0,54.0,0
12/16/20,Evaluate Speed-10 WB,100.0,57.0,0
12/17/20,Evaluate Speed-11 WB,100.0,57.0,0
12/18/20,Build Speed 2-4 WB,100.0,55.0,1
