Date,Score,Errors,Letters Left

09/24/2020,15582,18,0
09/30/2020,39,5,66
10/01/2020,0,10,100
10/01/2020,16686,14,0
10/01/2020,20883,17,0
10/01/2020,20290,10,0
10/05/2020,0,14,91
10/05/2020,17881,19,0
10/07/2020,14173,27,0
10/07/2020,20785,15,0
10/07/2020,22286,14,0
10/07/2020,3819,8,19
10/07/2020,21298,2,0
10/08/2020,15077,23,0
10/08/2020,20066,34,0
10/08/2020,19175,15,0
10/09/2020,20191,9,0
10/09/2020,20593,7,0
10/12/2020,20295,5,0
10/12/2020,20383,17,0
10/12/2020,20397,3,0
10/12/2020,19885,15,0
10/13/2020,19985,15,0
10/13/2020,20394,6,0
10/13/2020,18290,10,0
10/13/2020,18385,15,0
10/14/2020,18083,17,0
10/14/2020,21484,16,0
10/14/2020,19986,14,0
10/15/2020,0,38,91
10/15/2020,19793,7,0
10/15/2020,21272,28,0
10/15/2020,19090,10,0
10/16/2020,20486,14,0
10/16/2020,16273,27,0
10/20/2020,19993,7,0
10/20/2020,0,215,98
10/20/2020,21284,16,0
10/20/2020,0,230,98
10/20/2020,20191,9,0
10/23/2020,20716,4,0
10/26/2020,20487,13,0
10/29/2020,122,7,56
