Lesson,Accuracy,WPM,IdleTime

Three Minute File 17,95.0,25,0
Three Minute File 18,96.0,27,0
Three Minute File 20,97.0,29,0
Three Minute File 24,98.0,34,0
Three Minute File 25,95.0,28,0
Three Minute File 26,95.0,27,0
Three Minute File 27,96.0,30,0
Scripture - 3 Min - Novice - Psalm 46,94.0,26,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,95.0,28,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,95.0,27,0
Scripture - 3 Min - Novice - Psalm 46,96.0,29,0
Three Minute File 17,94.0,27,0
Three Minute File 17,94.0,24,0
Three Minute File 17,90.0,17,0
