Lesson,Accuracy,WPM,IdleTime

Day 24 - Part 4,95.7,27,0
Day 25 - Part 5,97.0,25,0
Day 26 - Part 1,98.4,34,0
Day 26 - Part 2 - Learn 3,94.3,26,0
Day 26 - Part 3 - Learn 0,95.7,29,0
Day 26 - Part 4,95.1,27,0
Day 26 - Part 5,93.2,18,0
Day 26 - Part 6,93.8,27,0
Day 26 - Part 5,95.1,21,0
Day 26 - Part 6,95.3,30,0
Day 26 - Part 2 - Learn 3,95.0,31,0
Day 26 - Part 5,93.2,18,0
Day 26 - Part 5,95.7,21,0
Day 26 - Part 4,98.4,34,0
Day 26 - Part 2 - Learn 3,97.5,40,0
Day 26 - Part 5,94.1,20,0
Day 26 - Part 5,95.9,23,0
Day 26 - Part 6,98.2,38,0
Day 24 - Part 4,97.6,31,0
