Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,96.2,37,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,96.3,41,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,92.8,25,0
Scripture - 3 Min - Novice - Psalm 23,96.6,34,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,94.8,29,0
Scripture - 5 Min - Novice - Psalm 51,94.2,28,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.3,31,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.5,29,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.8,29,0
Scripture - 5 Min - Novice - Psalm 51,94.6,28,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.3,31,0
Scripture - 5 Min - Novice - Psalm 51,94.0,27,0
