Lesson,Accuracy,WPM,IdleTime

Day 14 - Part 3 - Learn Z,97.4,31,0
Day 14 - Part 4 - Learn Y,95.4,30,0
Day 15 - Part 2 - Learn Q,96.8,28,0
Day 15 - Part 3 - Learn Comma,95.4,30,0
Day 17 - Part 2 - Learn V,93.5,24,0
Day 17 - Part 3 - Learn Colon,92.9,18,0
Day 18 - Part 3 - Learn CAPS LOCKB,92.4,21,0
Day 18 - Part 4 - Learn Question,94.7,23,0
Day 19 - Part 2 - Learn Apostrophe,93.8,24,0
Day 19 - Part 3 - Learn Quotation,95.8,27,0
Day 20 - Part 1,95.6,31,0
Day 20 - Part 2,97.4,36,0
Day 20 - Part 3,95.2,24,0
Day 20 - Part 4,94.7,27,0
Day 20 - Part 5,93.8,21,0
Day 18 - Part 3 - Learn CAPS LOCKB,96.0,32,0
Day 17 - Part 3 - Learn Colon,93.5,21,0
Day 17 - Part 3 - Learn Colon,90.9,15,0
Day 17 - Part 3 - Learn Colon,92.9,19,0
Day 17 - Part 3 - Learn Colon,95.5,24,0
Day 17 - Part 2 - Learn V,93.5,21,0
Day 17 - Part 2 - Learn V,98.0,41,0
Day 20 - Part 5,96.5,30,0
Day 19 - Part 2 - Learn Apostrophe,94.4,25,0
Day 19 - Part 2 - Learn Apostrophe,95.5,29,0
Day 18 - Part 4 - Learn Question,94.1,22,0
Day 18 - Part 4 - Learn Question,96.6,28,0
Day 20 - Part 4,95.6,31,0
