Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 2 - Learn 1,97.5,32,0
Day 27 - Part 3 - Learn 2,94.6,28,0
Day 26 - Part 2 - Learn 3,96.8,35,0
Day 24 - Part 2 - Learn 4,98.6,42,0
Day 25 - Part 2 - Learn 5,99.5,44,0
Day 27 - Part 4 - Learn 6,96.5,32,0
Day 23 - Part 3 - Learn 7,97.9,45,0
Day 24 - Part 3 - Learn 8,98.2,40,1
Day 25 - Part 3 - Learn 9,97.1,37,0
Day 26 - Part 3 - Learn 0,96.4,34,0
Day 28 - Part 5 - Left Hand,92.6,10,87
Day 28 - Part 6 - Right Hand,90.4,16,0
Day 28 - Part 6 - Right Hand,93.1,22,0
Day 28 - Part 5 - Left Hand,93.2,23,0
Day 28 - Part 6 - Right Hand,94.5,26,0
Day 28 - Part 5 - Left Hand,93.6,25,0
Day 28 - Part 5 - Left Hand,96.0,31,0
