Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 1,94.3,25,0
Day 29 - Part 2 - Learn Dollar Sign,90.6,10,0
Day 29 - Part 3 - Learn Forward Slash,91.2,11,0
Day 29 - Part 4,90.6,10,0
Day 29 - Part 5,96.8,33,0
Day 29 - Part 6,95.3,30,0
Day 28 - Part 5 - Left Hand,94.0,28,0
Day 28 - Part 6 - Right Hand,93.6,25,0
Day 29 - Part 2 - Learn Dollar Sign,91.4,12,0
Day 29 - Part 4,91.8,13,0
Day 29 - Part 3 - Learn Forward Slash,93.3,16,0
Day 29 - Part 2 - Learn Dollar Sign,95.5,20,0
Day 29 - Part 4,96.3,22,0
Day 29 - Part 3 - Learn Forward Slash,94.2,19,0
Day 28 - Part 6 - Right Hand,94.2,28,0
Day 29 - Part 3 - Learn Forward Slash,93.8,18,0
Day 29 - Part 3 - Learn Forward Slash,96.2,23,0
Day 28 - Part 5 - Left Hand,92.0,21,0
Day 29 - Part 1,1.1,-58,27
