Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 4,91.8,12,0
Day 30 - Part 1,94.1,26,0
Day 30 - Part 2 - Learn Percent Sign,90.0,10,0
Day 30 - Part 3 - Learn Hyphen,95.3,22,0
Day 30 - Part 4,93.6,21,0
Day 30 - Part 5,94.2,26,0
Day 30 - Part 2 - Learn Percent Sign,96.4,22,0
Day 29 - Part 4,93.5,17,0
Day 29 - Part 4,93.1,16,0
Day 29 - Part 4,95.1,21,0
Day 30 - Part 4,94.8,26,0
Day 30 - Part 1,97.3,29,1
Day 30 - Part 5,94.6,27,0
Day 30 - Part 5,95.4,31,0
Day 30 - Part 4,94.8,24,0
Day 30 - Part 4,93.2,22,0
Day 30 - Part 4,91.2,17,0
Day 30 - Part 4,94.4,26,0
Day 30 - Part 4,92.4,20,0
Day 30 - Part 4,90.0,14,0
