Lesson,Accuracy,WPM,IdleTime

Day 31 - Part 5,94.7,22,0
Day 32 - Part 1,94.6,25,0
Day 32 - Part 2,95.1,23,0
Day 32 - Part 3 - Learn Open Parentheses,98.3,36,0
Day 32 - Part 4 - Learn Close Parentheses,93.5,20,0
Day 32 - Part 5,94.3,17,0
Day 32 - Part 6,96.5,34,0
Day 32 - Part 7,94.0,20,0
Day 32 - Part 8,91.1,15,0
Day 32 - Part 8,95.4,23,0
Day 32 - Part 4 - Learn Close Parentheses,96.0,27,0
Day 32 - Part 7,94.0,22,0
Day 32 - Part 7,96.7,25,0
Day 32 - Part 5,95.9,20,0
Day 32 - Part 1,97.8,29,0
Day 31 - Part 5,98.8,34,0
Day 32 - Part 2,94.2,21,0
