Lesson,Accuracy,WPM,IdleTime

Day 32 - Part 5,87.7,6,0
Day 32 - Part 6,95.5,30,0
Day 32 - Part 7,95.1,24,0
Day 33 - Part 1 - Learn At Symbol,93.9,20,0
Day 33 - Part 2 - Learn Asterisk,94.2,18,0
Day 33 - Part 3,97.8,43,0
Day 32 - Part 5,94.8,21,0
Day 33 - Part 1 - Learn At Symbol,97.6,29,0
Day 33 - Part 2 - Learn Asterisk,93.5,19,0
Day 33 - Part 2 - Learn Asterisk,93.8,20,0
Day 33 - Part 2 - Learn Asterisk,96.0,23,0
Day 32 - Part 5,95.9,21,0
Day 32 - Part 7,97.3,29,0
Day 32 - Part 6,95.2,31,0
Day 32 - Part 6,88.0,12,0
Day 32 - Part 6,23.8,-841,0
