Lesson,Accuracy,WPM,IdleTime

Day 32 - Part 5,95.4,24,0
Day 33 - Part 3,96.6,41,0
Day 34 - Part 1 - Learn Exclamation Point,96.2,27,0
Day 34 - Part 2 - Learn Less Than,95.3,26,0
Day 34 - Part 3 - Learn Greater Than,96.3,29,0
Day 34 - Part 2 - Learn Less Than,96.3,33,0
Day 32 - Part 5,96.7,28,0
Day 34 - Part 1 - Learn Exclamation Point,94.5,26,0
Day 34 - Part 1 - Learn Exclamation Point,93.8,25,0
Day 34 - Part 1 - Learn Exclamation Point,94.2,23,0
Day 34 - Part 1 - Learn Exclamation Point,92.8,21,0
Day 34 - Part 1 - Learn Exclamation Point,95.2,27,0
Day 34 - Part 1 - Learn Exclamation Point,93.8,25,0
Day 34 - Part 1 - Learn Exclamation Point,66.0,-63,0
