Lesson,Accuracy,WPM,IdleTime

Three Minute File 01,93.3,23,1
Three Minute File 02,96.7,38,0
Three Minute File 03,93.0,26,0
Three Minute File 04,93.9,31,0
Three Minute File 05,96.5,39,0
Three Minute File 06,95.7,37,0
Three Minute File 07,93.8,30,0
Three Minute File 08,95.1,33,0
Three Minute File 09,94.3,30,0
Three Minute File 10,96.1,36,0
Three Minute File 03,90.8,19,0
Three Minute File 03,94.6,32,1
Three Minute File 01,94.5,28,0
Three Minute File 07,93.3,26,0
Three Minute File 07,92.1,23,0
Three Minute File 07,73.7,-31,0
