Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,90.1,19,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,93.9,29,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,95.3,36,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,95.1,35,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,94.7,34,0
Scripture - 3 Min - Novice - Psalm 46,94.4,31,0
Scripture - 5 Min - Novice - Isaiah 53,93.0,27,0
Scripture - 5 Min - Novice - John 1 v 1-18,93.9,30,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,94.7,33,0
Scripture - 5 Min - Novice - Isaiah 53,94.4,30,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,93.2,27,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,94.6,32,0
Scripture - 5 Min - Novice - John 1 v 1-18,93.7,30,0
Scripture - 5 Min - Novice - John 1 v 1-18,93.2,28,0
