Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,97.6,50,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,93.7,37,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.1,34,0
Scripture - 3 Min - Novice - Psalm 23,93.8,32,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,95.6,40,0
Scripture - 5 Min - Novice - Psalm 51,95.1,36,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,94.7,37,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,93.0,30,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.0,25,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.2,26,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.2,25,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.0,25,1
