Lesson,Accuracy,WPM,IdleTime

Three Minute File 19,99.8,39,0
Three Minute File 21,99.8,38,0
Three Minute File 22,100.0,43,0
Three Minute File 23,100.0,43,0
Three Minute File 24,100.0,46,0
Three Minute File 29,100.0,47,0
Timing - Five Minutes 09,100.0,46,0
Timing - Five Minutes 14,99.9,42,0
Timing - Five Minutes 15,100.0,40,0
Three Minute File 21,100.0,38,0
Three Minute File 19,100.0,43,0
Timing - Five Minutes 14,100.0,43,0
Three Minute File 21,99.7,37,0
Three Minute File 21,100.0,39,0
Three Minute File 21,99.8,42,0
Three Minute File 21,99.8,38,0
