Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,93.4,18,0
Day 01 - Part 4,97.4,32,0
Day 01 - Part 5,100.0,32,0
Day 02 - Part 1,94.8,19,0
Day 02 - Part 2 - Learn E,95.4,21,0
Day 02 - Part 3 - Learn H,96.7,23,0
Day 02 - Part 4,94.9,18,0
Day 02 - Part 5,97.7,26,0
Day 01 - Part 1 - Learn Spacebar,95.6,20,0
Day 02 - Part 1,98.0,27,1
Day 02 - Part 4,96.2,23,0
Day 02 - Part 2 - Learn E,98.7,32,0
Day 01 - Part 1 - Learn Spacebar,95.6,23,0
Day 01 - Part 1 - Learn Spacebar,94.1,18,0
Day 01 - Part 1 - Learn Spacebar,97.8,27,0
Day 02 - Part 4,93.0,15,0
Day 02 - Part 4,96.8,27,0
Day 02 - Part 3 - Learn H,96.1,21,0
Day 02 - Part 3 - Learn H,98.0,24,0
Day 02 - Part 4,94.9,21,0
Day 02 - Part 4,98.7,33,1
Day 01 - Part 4,97.1,31,0
