Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,97.1,29,0
Day 01 - Part 2 - Learn Home Row,98.1,33,0
Day 02 - Part 4,96.2,25,0
Day 02 - Part 5,100.0,33,0
Day 03 - Part 1,97.5,30,0
Day 03 - Part 2 - Learn R,91.5,10,0
Day 03 - Part 3 - Learn O,98.0,25,0
Day 03 - Part 4,96.1,21,0
Day 03 - Part 5,97.3,24,0
Day 03 - Part 2 - Learn R,97.4,22,1
Day 03 - Part 4,97.4,26,0
Day 02 - Part 4,98.7,35,0
Day 01 - Part 1 - Learn Spacebar,98.5,33,1
Day 03 - Part 5,97.7,26,1
Day 03 - Part 2 - Learn R,96.7,24,0
Day 03 - Part 2 - Learn R,97.4,26,0
Day 03 - Part 2 - Learn R,99.3,31,0
