Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,95.1,25,0
Day 04 - Part 7,100.0,35,0
Day 05 - Part 1,96.1,26,0
Day 05 - Part 2 - Learn T,84.7,2,0
Day 05 - Part 3 - Learn I,92.8,16,0
Day 05 - Part 4,92.1,14,0
Day 05 - Part 5,96.7,24,0
Day 05 - Part 6,98.7,27,0
Day 05 - Part 7,96.7,25,0
Day 05 - Part 2 - Learn T,93.3,25,0
Day 05 - Part 4,98.7,34,1
Day 05 - Part 3 - Learn I,97.4,27,0
Day 05 - Part 2 - Learn T,98.7,37,0
Day 04 - Part 6,98.0,33,0
Day 05 - Part 1,98.7,36,0
Day 05 - Part 5,96.7,30,0
Day 05 - Part 7,98.7,30,0
Day 05 - Part 5,96.1,26,0
Day 05 - Part 5,98.0,31,0
Day 05 - Part 3 - Learn I,98.7,32,0
Day 05 - Part 5,96.1,26,0
