Lesson,Accuracy,WPM,Idle Time

Day 08 - Part 1,96.8,26,0
Day 08 - Part 2,96.2,27,0
Day 08 - Part 3,98.1,27,0
Day 08 - Part 4,98.0,41,0
Day 08 - Part 5,93.5,21,0
Day 08 - Part 6,93.5,15,0
Day 08 - Part 7,94.1,20,0
Day 08 - Part 8,98.1,39,0
Day 08 - Part 9,96.7,27,0
Day 08 - Part 6,96.7,24,0
Day 08 - Part 5,98.7,29,0
Day 08 - Part 7,98.7,30,0
Day 08 - Part 2,98.6,34,0
Day 08 - Part 6,97.4,23,0
Day 08 - Part 9,98.7,32,0
Day 08 - Part 1,98.1,33,0
Day 08 - Part 6,97.4,22,0
Day 08 - Part 6,98.7,27,0
Day 08 - Part 4,100.0,42,0
Day 08 - Part 3,96.1,25,0
Day 08 - Part 7,98.0,30,0
Day 08 - Part 6,96.1,25,0
Day 08 - Part 8,100.0,41,0
Day 08 - Part 3,96.1,26,0
