Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,96.7,22,0
Day 09 - Part 2,98.0,24,0
Day 09 - Part 3,98.1,34,0
Day 09 - Part 4 - Learn W,94.1,18,0
Day 09 - Part 5 - Learn N,100.0,31,0
Day 09 - Part 6,97.4,23,0
Day 09 - Part 7,99.4,33,0
Day 09 - Part 8,94.8,20,0
Day 09 - Part 9,95.5,19,0
Day 09 - Part 4 - Learn W,100.0,27,0
Day 09 - Part 8,100.0,28,1
Day 09 - Part 9,100.0,26,0
Day 09 - Part 1,100.0,34,0
Day 09 - Part 6,98.0,27,0
Day 09 - Part 2,100.0,32,0
Day 09 - Part 6,100.0,30,4
Day 09 - Part 3,100.0,41,0
Day 09 - Part 7,100.0,31,0
