Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/18/2021,Home Row Intro,88,5,9
8/19/2021,Home Row Intro,97,22,188
8/24/2021,Spacebar and Home Row,97,24,3
8/25/2021,Letters E and H,98,29,3
8/26/2021,Letters O and R,98,30,3
8/27/2021,Review-L04,98,30,5
8/30/2021,Letters I and T,99,33,1
8/31/2021,Left Shift and Period,97,26,5
9/1/2021,Letters U and C,97,28,3
9/2/2021,Review-L08,99,33,0
9/3/2021,Letters N and W,100,31,5
9/7/2021,Letters G and Right Shift,100,28,9
9/14/2021,Letters B and P,98,21,2
9/15/2021,Review-L12,98,25,1
9/16/2021,Letters M and X,97,25,1
9/20/2021,Letters Y and Z,96,24,0
9/22/2021,Letter Q and Comma,98,25,1
9/22/2021,Review-L16,98,29,11
