name,date,score,time,time_of_day

Letter Game,08-19-21,390,124,49063
Letter Game,08-19-21,-450,110,49194
Letter Game,08-19-21,337,9,49224
Letter Game,08-19-21,415,26,49265
Letter Game,08-24-21,220,111,49295
Letter Game,08-24-21,290,49,49382
Letter Game,08-25-21,-570,159,48932
Letter Game,08-25-21,186,114,49077
Letter Game,08-25-21,-950,113,49229
Letter Game,08-25-21,-90,104,49407
Letter Game,08-26-21,594,99,49413
Letter Game,08-31-21,690,119,49187
Letter Game,08-31-21,257,7,49226
Letter Game,08-31-21,610,127,49389
Letter Game,09-02-21,790,107,49040
Letter Game,09-02-21,40,127,49259
Letter Game,09-02-21,134,18,49372
Letter Game,09-03-21,460,104,49252
Letter Game,09-03-21,353,25,49375
Letter Game,09-07-21,347,44,49309
Letter Game,09-07-21,320,39,49378
Letter Game,09-08-21,210,115,48849
Letter Game,09-08-21,-1960,140,49090
Letter Game,09-08-21,670,106,49293
Letter Game,09-08-21,299,31,49397
Letter Game,09-09-21,840,102,49879
Letter Game,09-09-21,600,119,50082
Letter Game,09-10-21,490,119,49028
Letter Game,09-10-21,-990,140,49189
Letter Game,09-10-21,590,115,49329
Letter Game,09-10-21,446,49,49401
Letter Game,09-13-21,270,121,48959
Letter Game,09-13-21,230,128,49106
Letter Game,09-13-21,740,105,49257
Letter Game,09-13-21,500,110,49408
Letter Game,09-14-21,690,111,48609
Letter Game,09-14-21,-3690,175,48798
Letter Game,09-14-21,-1780,160,48984
Letter Game,09-14-21,880,88,49091
Letter Game,09-14-21,60,134,49242
Letter Game,09-14-21,380,126,49403
Letter Game,09-15-21,790,100,48953
Letter Game,09-15-21,-590,131,49106
Letter Game,09-15-21,380,67,49188
Letter Game,09-16-21,100,148,49152
Letter Game,09-16-21,810,103,49270
Letter Game,09-16-21,1050,79,49361
Letter Game,09-16-21,268,9,49433
Letter Game,09-17-21,640,112,49225
Letter Game,09-17-21,1050,83,49343
Letter Game,09-17-21,380,35,49397
Letter Game,09-20-21,720,109,49298
Letter Game,09-20-21,592,76,49408
Letter Game,09-21-21,720,105,49068
Letter Game,09-21-21,140,87,49167
Letter Game,09-21-21,480,120,49304
Letter Game,09-21-21,480,55,49401
Letter Game,09-22-21,810,98,48898
Letter Game,09-22-21,202,35,48963
Zerg Rush,09-22-21,40,31,49080
Zerg Rush,09-22-21,450,20,49107
Zerg Rush,09-22-21,32,25,49143
Zerg Rush,09-22-21,60,29,49177
Zerg Rush,09-22-21,32,27,49208
Zerg Rush,09-22-21,62,31,49245
Zerg Rush,09-22-21,38,27,49283
Zerg Rush,09-22-21,102,45,49330
Zerg Rush,09-22-21,136,49,49387
Zerg Rush,09-22-21,0,8,49424
