Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,94.7,10,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,96.6,18,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,89.1,8,0
Scripture - 3 Min - Novice - Psalm 23,96.2,18,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,90.7,11,0
Scripture - 5 Min - Novice - Psalm 51,91.2,11,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,91.5,11,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.7,13,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.1,17,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,94.8,18,0
Scripture - 5 Min - Novice - Psalm 51,95.0,15,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,93.0,13,0
