Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,94,13,239
8/24/2021,Spacebar and Home Row,95,17,48
8/25/2021,Letters E and H,95,12,142
08/26/21,Letters O and R,94.0,13.0,29
08/27/21,Review-L04,96.0,12.0,65
08/30/21,Letters I and T,97.0,16.0,27
08/31/21,Left Shift and Period,92.0,7.0,27
09/01/21,Letters U and C,94.0,8.0,28
09/02/21,Review-L08,94.0,10.0,3
09/03/21,Letters N and W,95.0,14.0,5
09/07/21,Letter G and Right Shift,97.0,16.0,5
09/08/21,Letters B and P,98.0,16.0,6
09/09/21,Review-L12,96.0,12.0,16
09/10/21,Letters M and X,94.0,12.0,4
09/13/21,Letters Y and Z,95.0,11.0,4
09/14/21,Letter Q and Comma,94.0,10.0,19
09/15/21,Review-L16,93.0,10.0,6
09/16/21,Letter V and Colon,95.0,17.0,0
09/17/21,Caps Lock and Question Mark,93.0,13.0,0
09/20/21,Quotations & Apsotrophe & Hyphen,93.0,12.0,99
09/21/21,Evaluate Speed-01,95.0,15.0,0
09/22/21,Review 1-01,96.0,19.0,4
