Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,94.9,17,0
Day 01 - Part 4,97.1,25,0
Day 01 - Part 5,100.0,25,0
Day 02 - Part 1,98.0,19,0
Day 02 - Part 2 - Learn E,95.4,15,0
Day 02 - Part 3 - Learn H,95.4,15,0
Day 02 - Part 4,95.5,13,0
Day 02 - Part 5,97.6,17,3
Day 01 - Part 1 - Learn Spacebar,99.3,29,0
Day 02 - Part 2 - Learn E,98.0,21,0
Day 02 - Part 3 - Learn H,100.0,24,0
Day 02 - Part 4,98.1,16,0
Day 01 - Part 4,98.3,26,0
Day 02 - Part 5,98.1,19,0
Day 02 - Part 1,100.0,23,2
Day 02 - Part 2 - Learn E,99.3,25,1
Day 02 - Part 4,98.1,17,2
