Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,100.0,24,0
Day 04 - Part 7,100.0,22,0
Day 05 - Part 1,100.0,22,0
Day 05 - Part 2 - Learn T,98.0,19,0
Day 05 - Part 3 - Learn I,98.7,22,1
Day 05 - Part 4,97.4,14,1
Day 05 - Part 5,96.7,15,0
Day 05 - Part 6,98.0,14,0
Day 05 - Part 7,98.7,25,0
Day 05 - Part 5,98.0,21,0
Day 05 - Part 4,99.3,20,0
Day 05 - Part 6,98.7,19,0
Day 05 - Part 2 - Learn T,100.0,31,0
Day 05 - Part 5,98.0,21,1
Day 05 - Part 5,98.7,26,0
Day 05 - Part 6,99.3,22,0
Day 05 - Part 3 - Learn I,99.3,29,0
Day 05 - Part 7,98.7,28,0
Day 05 - Part 5,99.3,25,0
Day 05 - Part 7,98.7,30,0
