Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,98.9,16,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,99.2,25,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.1,19,0
Scripture - 3 Min - Novice - Psalm 23,97.3,15,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,17,0
Scripture - 5 Min - Novice - Psalm 51,96.7,12,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,98.8,15,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,100.0,17,0
Scripture - 1 Min - Novice - John 3 v 16,99.1,20,0
Scripture - 5 Min - Novice - Psalm 51,98.7,18,0
Scripture - 3 Min - Novice - Psalm 23,99.5,19,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,99.5,17,0
Scripture - 5 Min - Novice - Psalm 51,99.3,17,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,24,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,24,0
