Lesson,Accuracy,WPM,Idle Time

Day 20 - Part 1,100.0,22,0
Day 20 - Part 2,97.8,21,0
Day 20 - Part 3,99.6,20,0
Day 20 - Part 4,99.6,19,0
Day 20 - Part 5,99.1,19,0
Day 20 - Part 6,99.1,21,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.1,22,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.1,20,0
Day 20 - Part 2,98.7,22,0
Day 20 - Part 2,100.0,27,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,28,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.2,23,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,30,0
Day 20 - Part 5,99.6,23,0
Day 20 - Part 6,100.0,25,0
Day 20 - Part 4,100.0,21,0
