Date,Lesson,Accuracy,WPM,Idle Time

08/19/21,Home Row Intro,98.0,18.0,179
08/24/21,Spacebar and Home Row,99.0,24.0,5
08/25/21,Letters E and H,99.0,24.0,9
08/26/21,Letters O and R,99.0,23.0,2
08/27/21,Review-L04,99.0,19.0,11
08/30/21,Letters I and T,100.0,25.0,17
08/31/21,Left Shift and Period,99.0,21.0,5
09/01/21,Letters U and C,100.0,22.0,0
09/02/21,Review-L08,100.0,21.0,6
09/03/21,Letters N and W,100.0,28.0,1
09/07/21,Letter G and Right Shift,100.0,21.0,6
09/08/21,Letters B and P,100.0,16.0,5
09/09/21,Review-L12,100.0,19.0,0
09/10/21,Letters M and X,100.0,23.0,0
09/13/21,Letters Y and Z,100.0,22.0,1
09/14/21,Letter Q and Comma,99.0,18.0,0
09/15/21,Review-L16,100.0,19.0,0
09/16/21,Letter V and Colon,100.0,20.0,0
09/17/21,Caps Lock and Question Mark,99.0,17.0,0
09/20/21,Quotations & Apsotrophe & Hyphen,100.0,17.0,3
09/21/21,Evaluate Speed-01,100.0,19.0,0
09/22/21,Review 1-01,100.0,24.0,0
