name,date,score,time,time_of_day

Letter Game,08-19-21,870,91,49029
Letter Game,08-19-21,299,6,49056
Letter Game,08-19-21,1130,89,49152
Letter Game,08-19-21,327,2,49211
Letter Game,08-19-21,130,76,49291
Letter Game,08-24-21,846,60,49070
Letter Game,08-24-21,327,2,49086
Letter Game,08-24-21,1260,79,49179
Letter Game,08-24-21,1335,75,49292
Letter Game,08-24-21,348,2,49383
Zerg Rush,08-24-21,0,5,49399
Letter Game,08-25-21,-40,57,48911
Letter Game,08-25-21,-565,50,49017
Letter Game,08-25-21,327,2,49046
Letter Game,08-25-21,323,6,49057
Letter Game,08-25-21,346,1,49072
Letter Game,08-25-21,-5,61,49148
Letter Game,08-25-21,865,73,49251
Letter Game,08-25-21,341,2,49305
Letter Game,08-25-21,-907,70,49381
Letter Game,08-26-21,319,1,49308
Letter Game,08-26-21,270,60,49391
Letter Game,08-27-21,141,21,49370
Letter Game,08-31-21,-4380,72,48946
Letter Game,08-31-21,1020,12,49215
Letter Game,08-31-21,790,17,49254
Letter Game,08-31-21,882,20,49337
Letter Game,08-31-21,375,2,49350
Letter Game,08-31-21,1110,15,49368
Letter Game,09-01-21,245,17,49278
Letter Game,09-01-21,369,2,49286
Letter Game,09-01-21,950,14,49304
Letter Game,09-01-21,379,2,49323
Letter Game,09-01-21,1270,13,49339
Zerg Rush,09-02-21,174,59,48790
Zerg Rush,09-02-21,144,11,48819
Zerg Rush,09-02-21,306,89,48916
Zerg Rush,09-02-21,108,20,48950
Zerg Rush,09-02-21,314,87,49074
Zerg Rush,09-02-21,468,20,49130
Zerg Rush,09-02-21,178,63,49226
Zerg Rush,09-02-21,438,115,49378
Zerg Rush,09-07-21,222,72,49182
Zerg Rush,09-07-21,576,20,49222
Letter Game,09-07-21,1120,12,49257
Letter Game,09-07-21,383,2,49281
Letter Game,09-07-21,1055,10,49294
Letter Game,09-07-21,1280,11,49325
Letter Game,09-07-21,832,12,49358
Letter Game,09-07-21,751,10,49389
Zerg Rush,09-08-21,504,21,49290
Zerg Rush,09-08-21,459,31,49327
Zerg Rush,09-08-21,648,21,49362
Zerg Rush,09-09-21,148,33,49685
Zerg Rush,09-09-21,720,21,49712
Letter Game,09-09-21,1163,10,49747
Letter Game,09-09-21,1208,10,49778
Letter Game,09-09-21,1040,11,49805
Letter Game,09-09-21,1116,11,49830
Letter Game,09-09-21,287,5,49924
Letter Game,09-09-21,1175,10,49951
Zerg Rush,09-09-21,594,21,49991
Zerg Rush,09-09-21,444,41,50039
Zerg Rush,09-10-21,774,22,48851
Zerg Rush,09-10-21,408,50,48907
Zerg Rush,09-10-21,603,36,48952
Letter Game,09-10-21,1216,10,48986
Letter Game,09-10-21,1015,10,49006
Letter Game,09-10-21,1235,11,49025
Letter Game,09-10-21,346,5,49104
Letter Game,09-10-21,348,15,49134
Letter Game,09-10-21,995,8,49239
Letter Game,09-10-21,359,3,49251
Letter Game,09-10-21,1122,10,49264
Letter Game,09-10-21,893,13,49354
Zerg Rush,09-13-21,212,73,48864
Zerg Rush,09-13-21,540,20,48898
Zerg Rush,09-13-21,612,21,48939
Zerg Rush,09-13-21,468,20,48965
Zerg Rush,09-13-21,846,21,48992
Zerg Rush,09-13-21,432,20,49022
Zerg Rush,09-13-21,0,1,49026
Zerg Rush,09-13-21,144,20,49069
