Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,99.3,31,0
Day 01 - Part 4,97.1,31,0
Day 01 - Part 5,100.0,34,1
Day 02 - Part 1,98.7,27,0
Day 02 - Part 2 - Learn E,97.4,26,0
Day 02 - Part 3 - Learn H,98.0,26,0
Day 02 - Part 4,93.6,13,5
Day 02 - Part 5,98.2,29,2
Day 02 - Part 4,98.1,30,0
Day 01 - Part 4,98.4,41,0
Day 02 - Part 2 - Learn E,96.1,31,0
Day 02 - Part 2 - Learn E,86.3,7,2
Day 02 - Part 2 - Learn E,95.4,34,1
Day 02 - Part 2 - Learn E,94.8,31,0
Day 02 - Part 2 - Learn E,96.7,34,0
Day 02 - Part 2 - Learn E,97.4,38,0
Day 02 - Part 2 - Learn E,96.7,35,0
Day 02 - Part 2 - Learn E,98.7,42,0
Day 02 - Part 3 - Learn H,98.7,37,0
Day 02 - Part 4,94.3,25,0
Day 02 - Part 4,98.7,34,6
Day 02 - Part 5,78.6,-12,6
